Company,Type_Name,Operating_System,Weight,Memory_Size_GB,Memory_Type,CPU_Name,GPU_Brand,is_Touchscreen,has_IPS,Screen_Types,PPI
Asus,Notebook,Windows,2.1,1128,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
Asus,Notebook,No OS,2.69,1128,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
Dell,Gaming,Windows,2.56,256,SSD,Intel Core i5,Nvidia,0,0,Full HD,141.21
Lenovo,2 in 1 Convertible,Windows,1.38,256,SSD,Intel Core i7,Intel,1,1,Full HD,158.48
Dell,Notebook,Windows,2.2,2128,Hybrid,Intel Core i7,AMD,0,0,Full HD,141.21
HP,Notebook,Windows,2.04,1000,HDD,Intel Core i5,Intel,1,0,Other,100.45
Asus,Gaming,Windows,3.6,256,SSD,Intel Core i7,Nvidia,0,0,Full HD,127.34
HP,Notebook,Windows,1.49,500,HDD,Intel Core i5,Intel,0,1,Full HD,165.63
Apple,Ultrabook,Mac OS,1.37,512,SSD,Intel Core i5,Intel,0,1,Retina,226.98
Dell,2 in 1 Convertible,Windows,2.08,1000,HDD,Intel Core i7,Intel,1,1,Full HD,141.21
Asus,Gaming,Windows,4.3,1256,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
Asus,Notebook,Windows,1.68,1000,HDD,AMD Processor,AMD,0,0,Other,100.45
Lenovo,2 in 1 Convertible,Windows,1.37,512,SSD,Intel Core i7,Intel,1,1,Full HD,158.48
Acer,Notebook,Windows,3.0,256,SSD,Intel Core i3,Nvidia,0,1,Full HD,127.34
Dell,Ultrabook,Windows,1.41,256,SSD,Intel Core i5,Intel,0,0,Full HD,165.63
HP,Notebook,Windows,1.91,128,SSD,AMD Processor,AMD,0,0,Other,100.45
HP,Notebook,Windows,2.9,1000,HDD,Intel Core i7,Nvidia,0,1,Full HD,127.34
MSI,Gaming,Windows,4.14,1512,Hybrid,Intel Core i7,Nvidia,0,0,Full HD,127.34
Lenovo,2 in 1 Convertible,Windows,2.0,512,SSD,Intel Core i7,Nvidia,1,1,Full HD,141.21
Dell,Notebook,Windows,2.8,1128,Hybrid,Intel Core i7,AMD,0,0,Full HD,127.34
Lenovo,Notebook,No OS,2.2,256,SSD,Intel Core i3,Intel,0,0,Full HD,141.21
HP,Notebook,Windows,2.1,500,HDD,Intel Core i5,Intel,0,1,Full HD,141.21
Dell,Notebook,Windows,2.18,1000,HDD,Intel Core i5,Intel,0,0,Full HD,141.21
Dell,Notebook,Windows,2.24,1000,HDD,Intel Core i5,AMD,0,0,Full HD,141.21
Dell,2 in 1 Convertible,Windows,2.67,256,SSD,Intel Core i5,Intel,1,0,Full HD,141.21
Asus,2 in 1 Convertible,Windows,1.1,1024,Hybrid,Intel Core i7,Intel,1,0,Full HD,165.63
Lenovo,Notebook,No OS,2.2,1000,HDD,Intel Core i5,Intel,0,0,Full HD,141.21
HP,Notebook,Windows,2.5,1000,HDD,Intel Core i7,Nvidia,0,0,Full HD,127.34
Lenovo,Notebook,Windows,2.05,256,SSD,Intel Core i7,Intel,0,0,Full HD,141.21
